,dtypes,count,null_sum,null_pct,nunique,min,25%,50%,75%,max,mean,median,std,skew,use_ftr
adresse_code_voie,object,2412164,28116,0.012,16233,-,-,-,-,-,-,-,-,-,False
adresse_nom_voie,object,2412000,28280,0.012,398399,-,-,-,-,-,-,-,-,-,False
adresse_numero,float64,1422967,1017313,0.417,6577,1.0,8.0,24.0,87.0,9999.0,703.900495232848,24.0,2025.9352986981341,3.1128036112504134,False
adresse_suffixe,object,103302,2336978,0.958,40,-,-,-,-,-,-,-,-,-,False
ancien_code_commune,float64,4103,2436177,0.998,192,1059.0,35147.0,50516.0,79035.0,91182.0,52587.03753351206,50516.0,25849.42233945142,-0.26673810674351256,False
ancien_id_parcelle,object,899,2439381,1.0,775,-,-,-,-,-,-,-,-,-,False
ancien_nom_commune,object,4103,2436177,0.998,192,-,-,-,-,-,-,-,-,-,False
code_commune,object,2440280,0,0.0,31029,-,-,-,-,-,-,-,-,-,True
code_departement,object,2440280,0,0.0,99,-,-,-,-,-,-,-,-,-,False
code_nature_culture,object,1653143,787137,0.323,27,-,-,-,-,-,-,-,-,-,False
code_nature_culture_speciale,object,109300,2330980,0.955,118,-,-,-,-,-,-,-,-,-,False
code_postal,float64,2412030,28250,0.012,5797,1000.0,31200.0,49610.0,76940.0,97490.0,51641.02471901262,49610.0,27211.010602915518,-0.038009309566088514,True
code_type_local,float64,1265909,1174371,0.481,4,1.0,1.0,2.0,3.0,4.0,1.9610943598631496,2.0,0.9542433011588908,0.5740787033205786,False
date_mutation,object,2440280,0,0.0,361,2019-01-01,-,-,-,2019-12-31,-,-,-,-,False
id_mutation,object,2440280,0,0.0,1102378,2019-1,-,-,-,2019-999999,-,-,-,-,False
id_parcelle,object,2440280,0,0.0,1565759,010010000A0991,-,-,-,97424000AP0530,-,-,-,-,False
latitude,float64,2390603,49677,0.02,1361120,-21.385049,45.046143,47.304264,48.792085,51.082069,46.72524925816206,47.304264,3.8189436925059996,-9.964825676431488,True
longitude,float64,2390603,49677,0.02,1398007,-63.142871,-0.06086350000000001,2.214627,3.551713,55.827542,1.8154618185725517,2.214627,4.672820809776303,-4.737801020420449,True
lot1_numero,object,777477,1662803,0.681,11379,-,-,-,-,-,-,-,-,-,False
lot1_surface_carrez,float64,219472,2220808,0.91,17117,0.14,33.71,52.78,72.48,9646.2,60.63407682984618,52.78,90.56381579511796,42.76487568705699,False
lot2_numero,object,161874,2278406,0.934,5120,-,-,-,-,-,-,-,-,-,False
lot2_surface_carrez,float64,53998,2386282,0.978,11544,0.13,42.84,60.6,76.0675,8630.0,63.42586095781328,60.6,58.89869673147119,69.0427469489052,False
lot3_numero,object,25645,2414635,0.989,1357,-,-,-,-,-,-,-,-,-,False
lot3_surface_carrez,float64,5123,2435157,0.998,3961,0.85,39.004999999999995,61.0,85.545,3583.64,73.714928752684,61.0,90.9025581672209,17.611248210933315,False
lot4_numero,float64,8973,2431307,0.996,688,2.0,7.0,22.0,65.0,17014.0,113.86325643597459,22.0,530.6017774512898,14.682763838258403,False
lot4_surface_carrez,float64,1340,2438940,0.999,1174,1.0,34.11,65.38499999999999,103.2075,3208.9,89.93215671641791,65.38499999999999,149.49375018187447,11.39300551540673,False
lot5_numero,float64,4231,2436049,0.998,480,2.0,8.0,25.0,69.0,11046.0,115.74592294965728,25.0,463.2395777042123,11.155359686307525,False
lot5_surface_carrez,float64,537,2439743,1.0,473,0.89,31.05,73.88,116.57,1029.55,102.36774674115452,73.88,117.82097203730896,3.1473991379385002,False
nature_culture,object,1653143,787137,0.323,27,-,-,-,-,-,-,-,-,-,True
nature_culture_speciale,object,109300,2330980,0.955,118,-,-,-,-,-,-,-,-,-,False
nature_mutation,object,2440280,0,0.0,6,Adjudication,-,-,-,Vente terrain à bâtir,-,-,-,-,False
nom_commune,object,2440280,0,0.0,28906,Abainville,-,-,-,Œuilly,-,-,-,-,False
nombre_lots,int64,2440280,0,0.0,75,0,0.0,0.0,1.0,175,0.4062746897896963,0.0,0.8107192073279436,28.43018746964498,False
nombre_pieces_principales,float64,1264337,1175943,0.482,40,0.0,0.0,3.0,4.0,67.0,2.4977059122686436,3.0,2.0997001479565456,0.5446914900878346,True
numero_disposition,int64,2440280,0,0.0,620,1,1.0,1.0,1.0,694,1.1967257855655908,1.0,7.5395695199802795,69.58631457092626,False
numero_volume,object,6626,2433654,0.997,722,-,-,-,-,-,-,-,-,-,False
surface_reelle_bati,float64,981452,1458828,0.598,3878,1.0,50.0,77.0,107.0,312962.0,117.82769203180594,77.0,1022.3861338094258,161.61399897023574,True
surface_terrain,float64,1653087,787193,0.323,41331,1.0,225.0,594.0,1739.0,1662560.0,2852.0941704822553,594.0,12438.983793022988,45.46197769771875,True
type_local,object,1265909,1174371,0.481,4,-,-,-,-,-,-,-,-,-,True
valeur_fonciere,float64,2413433,26847,0.011,108435,0.01,57820.0,145000.0,256450.0,2086000000.0,556620.2914355855,145000.0,5682756.120014623,113.07769025640451,True
